pixels,fuse,time,time_std
196608,slow_wavelet,12815.414508183798,287.85518049264
196608,slow_guided_filter,43600.656270980835,915.3153169116395
49152,guided_filter,39.226720333099365,3.6843574218086403
49152,wavelet,27.7268123626709,0.3751543985282554
196608,guided_filter,166.78009748458862,10.389733057686646
196608,wavelet,91.84531688690186,3.08912118961792
786432,guided_filter,679.5567440986633,12.06731960126207
786432,wavelet,320.0229072570801,36.049903371594766
1572528,guided_filter,1184.837098121643,9.329143559259801
1572528,wavelet,581.1768817901611,8.240418183317658
3145728,guided_filter,3581.4053797721863,283.6066690354801
3145728,wavelet,1329.851369857788,130.8662785941019
49152,wfusimg,35.0,18.0
196608,wfusimg,72.0,4.0
786432,wfusimg,183.0,11.0
1572528,wfusimg,336.0,5.0
3145728,wfusimg,659.0,20.0
6290112,wfusimg,1712.0,60.0
12582912,wfusimg,4267.0,68.0